Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-573.1582	-601.8856	28.72746	0.231587	0.00201092	0.12126	0.0894814	0.157658	0.0590796	0.205922	0.1248	0.413907	0.0115705	0.114142	0.0107114	0.0887189	0.0407451	0.0605711	0.00909583	0.0490841	0.0257754	0.0285108	0.00288554	0.423179	0.12952	0.0288525	0.0120161	0.0809203	0.0898731	0.195284	0.0346916	0.180474	1.004612	0.9953878	0.246486	0.505098	0.808088	1.23749	1.97982	4.05703	1.012623	0.990818	0.0766255	0.000665355	0.0401215	0.0296068	0.0521644	0.0195477	0.0681335	0.0412928	0.13695	0.00382833	0.0377662	0.00354409	0.0293545	0.0134814	0.0200412	0.00300955	0.0162405	0.00852833	0.00943341	0.000954741	0.140018	0.0428543	0.00954645	0.00397576	0.0267742	0.0297364	0.0646139	0.0114784	0.0597135	0.482345	0.517655	0.4823454	3.022326
36	-572.282	-600.9465	28.66456	0.545421	0.00177382	0.193572	0.0534713	0.0421727	0.0912733	0.197034	0.293384	0.24076	0.0385034	0.0372388	0.00487783	0.0212392	0.0103223	0.035193	0.0131084	0.0139872	0.105281	0.0747719	0.0195196	0.40263	0.0225383	0.00953982	0.026435	0.0381795	0.0424525	0.0388744	0.024167	0.0972287	0.7265024	1.273498	0.272344	0.530281	0.820448	1.21885	1.88579	3.67182	0.9404871	1.752916	0.199426	0.000648575	0.0707771	0.0195511	0.0154199	0.0333729	0.0720429	0.107272	0.0880308	0.0140783	0.0136159	0.00178352	0.00776583	0.00377421	0.0128679	0.00479292	0.00511424	0.0384945	0.0273394	0.0071371	0.147217	0.00824086	0.00348812	0.00966565	0.0139599	0.0155222	0.0142139	0.00883637	0.0355504	0.561425	0.438575	0.5614249	2.734949
72	-570.07	-596.7976	26.7276	0.735808	0.026375	0.193559	0.016157	0.0426243	0.157456	0.118704	0.201433	0.353666	0.109497	0.212793	0.024017	0.0252105	0.0394804	0.0607607	0.0288088	0.029941	0.180937	0.0641473	0.0787325	0.695279	0.0335908	0.0163611	0.00122802	0.0745921	0.0109736	0.033166	0.0560991	0.293688	0.7799804	1.22002	0.249376	0.507978	0.809523	1.2353	1.96859	4.01001	1.004193	1.564167	0.187942	0.00673678	0.0494394	0.00412687	0.0108872	0.0402178	0.0303195	0.0514504	0.0903341	0.0279681	0.054352	0.00613447	0.00643933	0.0100842	0.0155196	0.00735841	0.00764759	0.0462154	0.0163847	0.02011	0.17759	0.00857984	0.004179	0.000313665	0.0190525	0.0028029	0.00847133	0.014329	0.0750144	0.592782	0.407218	0.5927816	3.915085
108	-570.3022	-596.7399	26.43773	0.904057	0.0640988	0.0746537	0.0264032	0.159549	0.203012	0.160416	0.16801	0.185079	0.0333546	0.221798	0.0116919	0.0322725	0.0325752	0.029989	0.0852188	0.0838157	0.0358489	0.0828233	0.013564	0.51745	0.201539	0.0180421	0.00588894	0.0453428	0.180994	0.144724	0.0607645	0.155553	0.6495754	1.350425	0.277585	0.535233	0.822831	1.21532	1.86834	3.6025	0.9267044	2.078934	0.229542	0.0162748	0.0189547	0.00670383	0.0405097	0.051545	0.04073	0.0426582	0.0469919	0.0084688	0.056315	0.00296861	0.00819406	0.0082709	0.00761427	0.0216372	0.021281	0.00910211	0.021029	0.00344394	0.131381	0.0511712	0.00458092	0.00149521	0.0115126	0.0459547	0.0367457	0.0154282	0.0394952	0.687831	0.312169	0.6878314	3.93853
144	-565.8787	-593.3931	27.51445	0.588065	0.0807386	0.075346	0.00160735	0.0683903	0.161121	0.0429939	0.174257	0.182241	0.00379715	0.0587907	0.0146104	0.0253549	0.00805596	0.0214411	0.0123603	0.00947071	0.0256368	0.0360179	0.0115369	0.432439	0.120005	0.0297847	0.0016834	0.00103302	0.108171	0.0859593	0.0566434	0.0273301	0.4336465	1.566354	0.103941	0.331501	0.708599	1.41124	3.01658	9.6208	1.636976	3.612052	0.238577	0.0327556	0.0305678	0.000652098	0.0277459	0.0653665	0.0174426	0.0706958	0.0739351	0.0015405	0.0238513	0.00592744	0.0102865	0.00326829	0.00869865	0.00501457	0.00384226	0.0104008	0.0146124	0.00468051	0.17544	0.048686	0.0120836	0.000682954	0.000419094	0.0438848	0.0348736	0.0229802	0.0110878	0.707544	0.292456	0.7075441	2.464882
180	-565.7446	-593.7424	27.99775	0.402638	0.0399456	0.118224	0.000145382	0.00884812	0.0975355	0.160628	0.202305	0.202733	0.0978266	0.129373	0.0405594	0.0452574	0.0561714	0.0557375	0.0122809	0.0619524	0.102164	0.00182123	0.0268045	0.0449253	0.0742066	0.00898768	0.0152142	0.0191125	0.553155	0.195342	0.325883	0.166203	0.7972406	1.202759	0.291643	0.548286	0.829039	1.20622	1.82387	3.42885	0.8909825	1.508653	0.123282	0.0122308	0.0361985	4.4514e-05	0.00270918	0.0298641	0.0491822	0.061943	0.0620742	0.0299532	0.0396123	0.0124188	0.0138572	0.0171989	0.0170661	0.00376026	0.018969	0.0312813	0.000557635	0.00820717	0.0137555	0.0227211	0.00275191	0.00465839	0.00585199	0.169369	0.0598113	0.0997811	0.0508891	0.677354	0.322646	0.677354	3.26598
216	-568.8226	-597.8095	28.98683	0.404201	0.0753121	0.0365777	0.0153746	0.0372908	0.0308526	0.0448704	0.0947984	0.339346	0.154477	0.0584273	0.0224987	0.00916941	0.049484	0.0148787	0.00765043	0.0335764	0.0291648	0.000297969	0.0404471	0.00786748	0.00715391	0.021018	0.0868482	0.0157086	0.0235931	0.190655	0.00582885	0.0167388	0.5574641	1.442536	0.125825	0.363876	0.729501	1.3708	2.74819	7.94756	1.498824	2.587675	0.215677	0.0401856	0.0195174	0.00820371	0.0198979	0.0164625	0.0239423	0.0505832	0.181071	0.082427	0.031176	0.012005	0.00489268	0.026404	0.00793907	0.00408217	0.017916	0.015562	0.000158993	0.021582	0.00419799	0.00381724	0.0112149	0.0463411	0.0083819	0.012589	0.101731	0.0031102	0.00893162	0.702135	0.297865	0.7021351	1.874107
252	-562.0979	-590.5405	28.44256	0.628963	0.0521301	0.04146	0.00742365	0.0336809	0.0278782	0.0907657	0.191621	0.284709	0.127876	0.0482154	0.0111915	0.0276637	0.0448222	0.0381712	0.00265224	0.0617235	0.0378348	0.0028093	0.0737575	0.0221144	0.0101449	0.00471013	0.129601	0.0079434	0.0181064	0.374044	0.000949504	0.00973428	0.5694574	1.430543	0.176261	0.428893	0.767891	1.30227	2.33158	5.67339	1.255094	2.512115	0.260689	0.0216066	0.0171841	0.00307691	0.0139599	0.0115548	0.03762	0.0794219	0.118004	0.0530012	0.019984	0.00463858	0.0114659	0.0185776	0.015821	0.00109928	0.0255828	0.0156815	0.00116438	0.0305706	0.00916583	0.00420481	0.00195222	0.0537164	0.00329233	0.00750462	0.155031	0.000393545	0.00403461	0.602069	0.397931	0.6020686	2.412697
288	-562.4417	-592.1181	29.67639	0.424841	0.0213079	0.0195986	0.0289334	0.0162976	0.00880877	0.0810389	0.106231	0.0559715	0.0584454	0.0187353	0.00209698	0.00727112	0.0126213	0.0153827	0.0063653	0.00186304	0.0100084	0.000234199	0.0359699	0.00740429	0.0154967	0.00751954	0.0566162	0.0357702	0.00552131	0.180113	0.00166477	0.0321596	0.6044553	1.395545	0.0873543	0.304552	0.6901	1.44907	3.28351	11.4476	1.762685	2.308764	0.333395	0.0167214	0.01538	0.0227055	0.0127896	0.0069127	0.0635955	0.083365	0.0439238	0.0458652	0.0147026	0.00164561	0.00570603	0.00990462	0.0120716	0.00499519	0.00146203	0.00785408	0.000183789	0.0282275	0.00581053	0.0121611	0.00590097	0.0444297	0.0280707	0.00433286	0.141344	0.00130643	0.0252373	0.654595	0.345405	0.6545946	1.274287
324	-570.0764	-598.5312	28.45486	0.638019	0.102994	0.0103167	0.0864392	0.107174	0.0455555	0.0803357	0.157189	0.188577	0.0474925	0.108947	0.00183192	0.024314	0.0126422	0.0414747	0.0351004	0.00813102	0.0433488	0.065225	0.0599638	0.00399297	0.0857843	0.0175499	0.184614	0.122331	0.0948997	0.489719	0.0295556	0.122418	0.7818494	1.218151	0.322321	0.575693	0.841752	1.188	1.73704	3.1025	0.8186637	1.558037	0.211549	0.0341498	0.00342074	0.0286608	0.035536	0.0151049	0.0266371	0.0521195	0.0625267	0.0157472	0.0361239	0.000607413	0.00806185	0.00419181	0.0137519	0.0116383	0.00269602	0.0143732	0.0216268	0.0198823	0.00132396	0.0284437	0.00581904	0.0612129	0.0405616	0.0314661	0.162377	0.00979979	0.0405905	0.565823	0.434177	0.5658233	3.015937
