Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
360	-568.8135	-597.3436	28.53018	0.556437	0.0247574	0.0824143	0.0555457	0.0357877	0.0419157	0.0882014	0.0794117	0.263547	0.117301	0.0689446	0.044019	0.0317325	0.0386244	0.0148383	0.0487299	0.116399	0.066304	0.397663	0.0203837	0.0062275	0.0158671	0.102394	0.0195934	0.0165483	0.0220478	0.221151	0.0794913	0.00882934	0.6759775	1.324023	0.241282	0.499868	0.805468	1.24151	2.00053	4.14453	1.028052	1.958678	0.207231	0.00922026	0.0306931	0.0206866	0.0133282	0.0156105	0.0328484	0.0295749	0.0981513	0.0436858	0.0256767	0.0163937	0.011818	0.0143847	0.00552613	0.0181482	0.0433498	0.0246933	0.1481	0.00759138	0.00231927	0.00590928	0.038134	0.00729706	0.00616301	0.00821114	0.0823622	0.0296045	0.00328827	0.706406	0.293594	0.7064059	2.685107
396	-568.1508	-596.8426	28.6918	0.366061	0.105174	0.018145	0.0853054	0.0862256	0.0567591	0.134795	0.0270414	0.214176	0.0746447	0.0932079	0.024625	0.0423585	0.0317789	0.0134128	0.0126033	0.0726063	0.110628	0.287553	0.0141023	0.00934278	0.179498	0.256135	0.0247664	0.0315003	0.0250084	0.0976836	0.136251	0.0181091	0.7263686	1.273631	0.233399	0.491836	0.801408	1.2478	2.0332	4.28451	1.052069	1.753423	0.138163	0.039696	0.00684848	0.0321968	0.0325441	0.0214226	0.0508757	0.0102062	0.0808365	0.0281731	0.0351794	0.00929422	0.0159874	0.0119943	0.0050624	0.00475685	0.0274038	0.0417545	0.108531	0.00532264	0.00352624	0.0677479	0.096673	0.00934757	0.0118892	0.00943892	0.0368687	0.0514252	0.0068349	0.649798	0.350202	0.6497984	2.649499
432	-578.538	-604.2833	25.74534	0.210015	0.0578502	0.113696	0.00712603	0.189565	0.0992785	0.225582	0.169834	0.38476	0.307035	0.202171	0.0260421	0.0453695	0.020103	0.0941135	0.0300305	0.0626376	0.207333	0.709839	0.105266	0.13659	0.0449338	0.0877741	1.02033	0.0355717	0.174314	0.0265059	0.0380085	0.0519846	0.9125994	1.087401	0.458633	0.683747	0.888159	1.12593	1.46253	2.18039	0.5636359	1.191542	0.0430036	0.0118457	0.0232808	0.00145916	0.0388161	0.0203287	0.0461912	0.034776	0.0787852	0.0628699	0.0413974	0.00533249	0.00929006	0.00411638	0.0192711	0.00614917	0.012826	0.0424544	0.14535	0.0215547	0.0279687	0.00920083	0.017973	0.208928	0.00728382	0.0356932	0.00542747	0.00778278	0.0106446	0.55212	0.44788	0.5521201	4.883663
468	-568.5974	-599.1141	30.51663	0.146428	0.00400064	0.017602	0.00594785	0.0505504	0.0113108	0.0298583	0.0545303	0.0952094	0.0344385	0.029026	0.00338137	0.011529	0.0063009	0.0109542	0.00657687	0.0133452	0.0159816	0.0841913	0.0118096	0.00121483	0.0187298	0.0666283	0.00559075	0.00866504	0.003056	0.0122936	0.0349174	0.0190263	0.7549829	1.245017	0.0843166	0.29934	0.686394	1.45689	3.34068	11.8601	1.788277	1.649067	0.180088	0.00492027	0.0216482	0.00731508	0.0621704	0.0139109	0.0367218	0.0670651	0.117095	0.0423549	0.0356981	0.00415864	0.0141792	0.00774929	0.0134722	0.00808869	0.0164128	0.0196552	0.103544	0.0145243	0.00149408	0.0230352	0.0819441	0.00687589	0.0106569	0.00375848	0.0151195	0.0429438	0.0233998	0.701485	0.298515	0.7014848	0.8130947
504	-562.5504	-591.1672	28.61679	0.330284	0.0435975	0.0166626	0.01908	0.0306011	0.0874404	0.052394	0.100451	0.118646	0.0307258	0.0394792	0.00313002	0.0201088	0.0100918	0.0165833	0.00610697	0.0244327	0.0187383	0.0913939	0.00825619	0.00709818	0.0273668	0.111175	0.0306488	0.012693	0.014445	0.0105641	0.0214697	0.0040607	0.3292132	1.670787	0.0887307	0.306883	0.691743	1.44562	3.25857	11.2701	1.751381	5.07509	0.252564	0.0333385	0.0127416	0.0145903	0.0234003	0.0668645	0.040065	0.076814	0.0907268	0.0234956	0.0301892	0.00239349	0.0153769	0.0077171	0.0126811	0.00466992	0.0186833	0.0143289	0.0698877	0.0063134	0.00542789	0.020927	0.0850138	0.0234367	0.00970618	0.0110459	0.00807826	0.0164176	0.00310517	0.798702	0.201298	0.7987016	1.307724
540	-569.2007	-597.3501	28.14933	0.973212	0.0713463	0.0497665	0.0155206	0.0610365	0.199993	0.104796	0.192106	0.185558	0.0160738	0.0897939	0.0297383	0.024306	0.00638048	0.0290131	0.0473009	0.107183	0.163755	0.0494151	0.0291706	0.0142641	0.00591018	0.109884	0.151895	0.00796376	0.0317131	0.0182374	0.127097	0.0236452	0.7371441	1.262856	0.203693	0.460241	0.784978	1.27392	2.17277	4.90936	1.150506	1.713174	0.331467	0.0242999	0.01695	0.00528618	0.0207885	0.0681159	0.0356925	0.0654295	0.0631994	0.0054746	0.030583	0.0101286	0.0082784	0.00217313	0.0098816	0.0161102	0.0365055	0.0557734	0.0168303	0.00993525	0.00485822	0.00201295	0.0374254	0.051734	0.00271239	0.0108012	0.00621148	0.043288	0.00805334	0.725708	0.274292	0.7257077	2.936074
576	-561.4664	-590.7761	29.30973	0.253947	0.0199292	0.0344208	0.00645446	0.00275124	0.0690413	0.00196589	0.110813	0.0902178	0.0232644	0.0301294	0.0135288	0.00942298	0.00500002	0.00619173	0.00216758	0.0689225	0.0900278	0.020159	0.0160196	0.00730814	0.000288395	0.0979177	0.0210736	0.0105142	0.00603323	0.0258396	0.0243424	0.0103339	0.4509062	1.549094	0.0769609	0.286306	0.676926	1.47727	3.49276	12.9936	1.854279	3.435512	0.235566	0.0184868	0.0319295	0.0059873	0.00255211	0.0640442	0.0018236	0.102793	0.083688	0.0215805	0.0279487	0.0125496	0.00874097	0.00463813	0.00574358	0.00201069	0.063934	0.0835117	0.0187	0.0148602	0.0067792	0.000267522	0.0908306	0.0195483	0.00975317	0.00559655	0.0239694	0.0225805	0.00958595	0.695533	0.304467	0.6955334	1.078025
612	-569.9385	-598.9193	28.98073	0.461588	0.021864	0.0457766	0.073775	0.0855479	0.100889	0.0112194	0.143231	0.261819	0.0115475	0.0587871	0.00204141	0.00386563	0.0526543	0.0193002	0.00265772	0.247176	0.276211	0.0322879	0.109016	0.00175236	0.00816377	0.372306	0.203125	0.0346212	0.0528409	0.0690348	0.0500671	0.0183691	1.060026	0.9399737	0.194231	0.449688	0.779318	1.28317	2.22376	5.1485	1.184897	0.8867457	0.163017	0.00772159	0.0161667	0.0260548	0.0302126	0.0356305	0.00396232	0.0505843	0.0924654	0.00407818	0.0207616	0.000720954	0.00136521	0.0185957	0.00681617	0.000938615	0.087294	0.0975481	0.011403	0.0385007	0.000618871	0.00288316	0.131486	0.0717368	0.012227	0.0186616	0.0243807	0.017682	0.00648733	0.560179	0.439821	0.560179	2.831534
648	-563.6858	-591.658	27.97224	0.540717	0.0609246	0.101788	0.00947304	0.0732088	0.094036	0.0371929	0.16391	0.243262	0.0229181	0.119607	0.00158433	0.0263894	0.0406878	0.0280613	0.000536643	0.0839118	0.000988307	0.0374812	0.165686	0.00567906	0.101546	0.0379086	0.271887	0.137522	0.128304	0.0198008	0.671229	0.0210557	0.9695618	1.030438	0.161326	0.410766	0.757615	1.31993	2.43447	6.19864	1.319116	1.062788	0.166513	0.0187616	0.0313454	0.00291721	0.0225445	0.0289582	0.0114535	0.0504758	0.0749122	0.00705758	0.0368328	0.000487892	0.00812659	0.0125298	0.00864145	0.000165258	0.0258405	0.000304348	0.0115423	0.0510228	0.00174886	0.031271	0.0116739	0.0837273	0.0423498	0.0395111	0.00609762	0.206704	0.00648406	0.642698	0.357302	0.6426981	3.247297
684	-574.4449	-602.6695	28.22455	0.520958	0.016597	0.133607	0.049218	0.166682	0.118257	0.133754	0.0827573	0.305402	0.0399802	0.133138	0.00370942	0.018752	0.0510014	0.0214802	0.00724204	0.164692	0.0162769	0.0610257	0.0234977	0.0114131	0.0286129	0.0228349	0.005695	0.0220077	0.0659592	0.0466947	0.316312	0.0357983	0.6224847	1.377515	0.168071	0.419055	0.762352	1.31173	2.38632	5.94986	1.289497	2.21293	0.198584	0.00632664	0.0509297	0.0187615	0.0635377	0.0450786	0.0509858	0.0315464	0.116417	0.0152401	0.0507511	0.001414	0.00714809	0.0194413	0.00818805	0.0027606	0.0627791	0.00620462	0.0232624	0.00895712	0.00435058	0.010907	0.00870448	0.00217088	0.00838916	0.0251431	0.0177996	0.120575	0.013646	0.642571	0.357429	0.6425714	2.623356
